iso	alternate names	affiliation	affiliation-HH	country	dialects	language status	language use	location	population numeric	typology	writing
ycp	NA	Sino-Tibetan, Tibeto-Burman, Ngwi-Burmese, Ngwi, Southern	Sino-Tibetan, Burmo-Qiangic, Lolo-Burmese, Loloish, Hani-Jino, Bisoid-Hanic, Hanic, Ha-Ya, Akhaic	China, Laos	Related to Akeu [aeu].	7 (Shifting).	Shifting to Lahu [lhu] (2007).	Northwest Phongsaly Province.	2000	NA	NA
yda	Janda, Yunda	Australian, Pama-Nyungan, Maric	NA	Australia	Similar to Guwa [xgw].	8b (Nearly extinct).	NA	QueenslandHamilton river; Lucknow; Toolebuc; Warenda.	10	NA	NA
ydd	Judeo-German, Yiddish	Indo-European, Germanic, West, High German, Yiddish	Indo-European, Germanic, Northwest Germanic, West Germanic, High German, Yiddish	Canada, Panama, Lithuania, Costa Rica, Argentina, Israel, Belarus, Puerto Rico, Belgium, Ukraine, Poland, Moldova, United States, Sweden, Latvia, Romania, Estonia, Uruguay, Australia, South Africa, Russian Federation (Asia), Hungary	Mideastern Yiddish, Northeastern Yiddish, Southeastern Yiddish. Many loans from Hebrew [heb] and local languages. Eastern and Western [yih] Yiddish have difficult inherent intelligibility due to differing histories and influences from other languages. Some Western Yiddish [yih] in Israel (1977 M. Herzog).	4 (Educational).	NA	Southeastern dialect in Ukraine and Romania, Mideastern dialect in Poland and Hungary, Northeastern dialect in Lithuania and Belarus. Also in Argentina, Australia, Belarus, Belgium, Canada, Costa Rica, Estonia, Latvia, Lithuania, Moldova, Panama, Poland, Puerto Rico, Romania, Russian Federation, South Africa, Sweden, Ukraine, United States, Uruguay.	215000	SVO	Hebrew script.
yde	NA	Torricelli, Wapei-Palei, Palei	Nuclear_Torricelli, Wapei-Palei, Yangum-Ambrak	Papua New Guinea	NA	6b (Threatened).	NA	Sandaun Province, Nuku district.	180	NA	NA
ydg	Lutkuhwar, Yidga, Yudga, Yudgha	Indo-European, Indo-Iranian, Iranian, Eastern, Southeastern, Pamir	Indo-European, Indo-Iranian, Iranian, Eastern Iranian, Southeastern Iranian, Pamir, Yidgha-Munja	Pakistan	No significant dialect variation. Lexical similarity56%-80% with Munji [mnj] in Afghanistan.	6b (Threatened).	Home. Positive attitudes. Also use Khowar [khw].	Chitral, Upper Lutkuh valley, west of Garam Chishma.	6150	NA	NA
ydk	NA	Trans-New Guinea, Madang, Croisilles, Hanseman	Nuclear_Trans_New_Guinea, Madang, Croisilles, Mabuso, Hanseman	Papua New Guinea	NA	6a (Vigorous).	NA	Madang Province.	770	NA	NA
yds	NA	Deaf sign language	Deaf Sign Language	Israel	NA	6a (Vigorous).	NA	NA	NA	NA	NA
yea	Adiya, Adiyan, Iryavula, Panjiri Yerava, Yerava, Yoruba	Dravidian, Southern, Tamil-Kannada, Tamil-Kodagu, Tamil-Malayalam, Malayalam	Dravidian, South Dravidian, South Dravidian I, Tamil-Kannada, Badaga-Kannada, Kannadoid	India	Adiya, Pani Yerava, Panjiri Yerava. 93%-94% dialect intelligibility between Yerava and Adiya dialects. Pani Yerava may be a dialect of Ravula or of Paniya [pcg]. Lexical similarity83%-98% among Yerava and Adiya varieties, 53%-61% with standard Malayalam [mal], 35%-40% with Badaga [bfq], 32%-42% with colloquial Kannada [kan], 66%-74% Pani Yerava dialect with the Adiya and Yerava dialects.	5 (Developing).	Vigorous. Home, village, religion. Positive attitudes. Low proficiency in Kannada [kan] or Malayalam [mal].	Karnataka, Coorg (Kodagu) district; Kerala, Wayanad district, Mananthavadi tahsil, Kannur district.	26900	NA	Kannada script. Malayalam script.
yec	German Travellers, Jenisch, Yenishe	Mixed language, German-Yiddish-Romani-Rotwelsch	Mixed Language, German-Yiddish-Romani-Rotwelsch	Switzerland, Austria, Netherlands, Germany, France	German with a heavy cryptolectal lexical influsion from Traveller Danish [rmd], Western Yiddish [yih], Vlax Romani [rmy], and Hebrew [heb].	6a (Vigorous).	The L1 of some (1977 The Carrier Pidgin).	Also in Austria, France, Netherlands, Switzerland.	16000	NA	NA
yee	NA	Ramu-Lower Sepik, Lower Sepik, Karawari	Lower_Sepik-Ramu, Lower Sepik, Karawarian	Papua New Guinea	Related to Tabriak [tzx].	6b (Threatened).	Potentially endangered (2000 S. Wurm). Under pressure from Tabriak [tzx] and Tok Pisin [tpi]. Young people prefer Tok Pisin (2007).	East Sepik Province, near Chambri, Arafundi and middle Karawari rivers.	300	NA	NA
yei	NA	Unclassified	Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Northern Bantoid, Mambiloid, Nizaa-Mambila-Vute, Konja-Mambila-Vute, Mambila-Vute, Mambila-Mbongno, Mambila, Njerup	Cameroon	NA	10 (Extinct).	Shifted to the Langa dialect of Mambila [mcu].	Nyalang area north of Mayo Darle village.	0	NA	NA
yej	Judeo-Greek, Yevanitika	Indo-European, Greek, Attic	Indo-European, Graeco-Phrygian, Greek, Attic, Koineic Greek	United States, Israel	NA	8b (Nearly extinct).	A few semispeakers in 1987 and may be none now.	Also in United States.	35	NA	NA
yel	Boyela, Kutu	Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern, Narrow Bantu, Northwest, C, Tetela (C.74)	Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Central-Western Bantu, Greater Bangi-Ntomba, Ngiri, Ngiri Riverain, Ngiri Riverain Ubangi, Ngiri Riverain Ubangi-Ripuaire, Bobangic	Democratic Republic of the Congo	NA	6a (Vigorous).	NA	Equateur Province, mainly in Bokungu territory.	33000	NA	NA
yen	NA	Spurious, !Retired, !Atlantic-Congo, !Volta-Congo, !North Volta-Congo, !Adamawa-Ubangi, !Adamawa, !Samba Duru-Mumuye Yendang, !Mumuye-Yandang, !Yandang, !Waka-Yendang-Teme, !Waka-Yandang	NA	Nigeria	NA	NA	NA	NA	NA	NA	NA
yer	Appa, Yergam, Yergum	Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Plateau, Tarokoid	Atlantic-Congo, Volta-Congo, Benue-Congo, Benue-Congo Plateau, Tarokoid, Yangkam-Tarok-Pe, Tarok-Pe	Nigeria	Igyang, Itarok (Plain Tarok), Itarok Oga Asa, Izini (Hill Tarok), Selyer.	5 (Developing).	NA	Plateau State, Kanam, Wase, and Langtang LGAs; Taraba State, Wukari LGA.	300000	NA	Latin script, used since 1977.
yes	Nyenkpa, Yasgua, Yeskwa	Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Plateau, Western, Northwestern, Koro	Atlantic-Congo, Volta-Congo, Benue-Congo, Benue-Congo Plateau, Western Benue-Congo Plateau, Northwestern Benue-Congo Plateau, Koroic	Nigeria	Ejira (Tattara), Ejung (Panda), Engbe (Barde, Bede), Ogbom (Buzi, Gitata). All dialects mutually intelligible. Lexical similarityEjung 90% with Ejira, 83% with Ogbom, 74% with Engbe; Ejira dialect87% with Ogbom, 77% with Engbe; Engbe dialect72% with Ogbom.	6a (Vigorous).	Home, market, farms, village meeting. All ages. Positive attitudes. Most are bilingual in Hausa [hau]; youth also use English [eng].	Kaduna State, Jema'a LGA; Nassarawa State, Karu LGA.	70000	SVO; prepositions; content question markers come at the end; tonal; noun classes	NA
yet	Biaksi, Biksi, Inisine	Unclassified	Biksi	Indonesia (Papua), Papua New Guinea	Yetfa and Biksi are 2 ethnic groups, speaking the same language.	3 (Wider communication).	Trade language in the area, extending to Papua New Guinea border. Home, market, religious services.	Papua Province, Pegunungan Bintang regency, Okbibab subdistrict, border area east and north of Sobger river, south of Ji mountain.	1000	NA	NA
yeu	Erukala, Eruku Bhasha, Korava, Korchi, Kurru Bhasha, Kurutha, Yarukula, Yerkula, Yerukala, Yerukala-Korava, Yerukla, Yerukula-Bhasha	Dravidian, Southern, Tamil-Kannada, Tamil-Kodagu, Tamil-Malayalam, Tamil	Dravidian, South Dravidian, South Dravidian I, Tamil-Kannada, Tamil-Kota, Tamil-Toda, Tamil-Kodagu, Tamil-Malayalam, Tamiloid	India	Parikala, Sankara-Yerukala. Similar to Ravula [yea] and Irula [iru]. Lexical similarityamong varieties ranges from 53%-81%, 33%-38% with Irula [iru], 28%-45% with Ravula [yea], 27%-45% with Tamil [tam].	5 (Developing).	Vigorous language use. In Andhra Pradeshhome, community, religion; in Rayalseema and Telengana regions, wider use. Positive attitudes. Some also use Telugu [tel], with higher proficiency in Andhra Pradesh and among educated adults.	Andhra Pradesh, Rayalseema, Telengana and Andhra regions; Tamil Nadu, Nilgiri, Coimbatore, Periyar, Salem, and Chengai Anna; Karnataka; Kerala; Maharashtra.	69500	NA	Telugu script.
yev	Reiwo	Torricelli, Wapei-Palei, Wapei	Nuclear_Torricelli, Wapei-Palei, Halu-Ahi-Yeri, Ahi-Yeri	Papua New Guinea	NA	8b (Nearly extinct).	Endangered (2000 S. Wurm). Under pressure from Palei languages (2007).	Eastern Sandaun Province, south-southeast of Aitape, on upper Om river.	60	NA	NA
yey	Ciyei, 'Koba' , 'Kuba' , 'Sekoba' , Seyeyi, Shiyeyi, Yeei, Yei	Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern, Narrow Bantu, Central, R, Yeye (R.41)	Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Central-Western Bantu, Yeye (R.40)	Namibia, Botswana	Shirwanga. Not closely related to other languages. Lexical similarity47% with Luyana [lyn], 30% with Herero [her].	6b (Threatened).	43% who learned Yeyi from their parents said they speak Yeyi best, 57% said they speak Tswana [tsn] best. Few speak Yeyi as L2. 12% of respondents said they speak only Yeyi to their children, 9% speak Yeyi and Tswana to their children. In some villages, children speak Yeyi, including Seronga, Sepopa, Ikoga, Jau. In many villages used only by those over 40. All also use Tswana [tsn]; 73% said they use Tswana well. Youth who have attended secondary school also use English [eng].	North West District, Maun, Shorobe up to Mababe, Sankoyo, Daunara, Nokaneng, Gumare, Sepopo, Ikoga, Shakawe, and Seronga; Central District, Letihakane, Xumu, Rakops, Motopi. Also in Namibia.	20000	SVO; postpositions; articles, adjectives, numerals after noun heads; relatives before or after; question word initial; 4 prefixes, one suffix; word order distinguishes subjects, objects, indirect objects; noun affixes indicate case; verb affixes mark person, number, gender; CVC; nontonal	Latin script.
yga	Bulali, Bulalli, Karikari, Malgaaljangaba, Malgangara, Malja:pa, Maljangaba, Maljangapa, Malyanapa, Malya-napa, Malyangaba, Malyapa, Malynapa, Milyauppa, Milya-uppa, Muliaarpa, Mullia-arpa, Multyerra, Mulyanapa, Mulya-napa, Mulyanappa, Mulya-nappa, Nalyanapa	Australian, Pama-Nyungan, Yarli	NA	Australia	NA	10 (Extinct).	NA	Milparinka, New South Wales, Yancannie creek head, east beyond Mount Arrowsmith, south to about Mootwin-gee and Sturt Meadow.	0	NA	Unwritten.
ygi	Iningai, Iningayi, Inningai, Mootaburra, Moothaburra, Muta-bura, Muttaburra, Tateburra, Terreburra, Yiningay	Australian, Pama-Nyungan, Maric	NA	Australia	NA	10 (Extinct).	NA	QueenslandWest of Dividing range to Forsyth range, Maneroo creek and Longreach; south along Alice river tributaries to about Mexico; north to Muttaburra, Cornish creek, Tower Hill, Bowen Downs, and North Oakvale; at Aramac.	0	NA	NA
ygl	NA	Torricelli, Wapei-Palei, Palei	Nuclear_Torricelli, Wapei-Palei, Yangum-Ambrak	Papua New Guinea	NA	6b (Threatened).	NA	Sandaun Province, Nuku district.	45	NA	NA
ygm	NA	Trans-New Guinea, Finisterre-Huon, Finisterre, Warup	Nuclear_Trans_New_Guinea, Finisterre-Huon, Finisterre-Saruwaged, Warup, Molet-Asaroo	Papua New Guinea	NA	6a (Vigorous).	NA	Madang Province, Saidor district, coast southeast of Seure, Yagomi village.	280	NA	NA
ygp	"Baiyi, Gepu, Guo, Gupu, Guzu, Jiantouyi, K\""opu, Nasu, Pingtouyi"	Sino-Tibetan, Tibeto-Burman, Ngwi-Burmese, Ngwi, Northern	Sino-Tibetan, Burmo-Qiangic, Lolo-Burmese, Loloish, Ni-Li-Kazhouish, Southeastern Ngwi, Nisoid, Nuclear Nisoid, Nasu-Nosu, Nesu-Nasu, Nasu-Gepu	China	Luquan Naso, Wuding Naisu. Related to Nasu [ywq].	6a (Vigorous).	NA	Northeast Yunnan ProvinceLuquan, Fumin, Xundian, Luxi, Shizong, Luoping, Malong, Songming, Huize, Mile, Shilin, and Dongchuan counties.	100000	NA	NA
ygr	NA	Trans-New Guinea, Kainantu-Goroka, Gorokan, Kamano-Yagaria	Nuclear_Trans_New_Guinea, Kainantu-Goroka, Goroka, Kamano-Yagaria	Papua New Guinea	Dagenava, Hira, Hua (Huva), Kamate, Kami-Kulaka, Kotom, Move, Ologuti.	5 (Developing).	NA	Eastern Highlands Province, Goroka district.	21100	NA	Latin script.
ygs	Hands in action	Deaf sign language	Village Sign Language	Australia	NA	6a (Vigorous).	It is taught from birth to Aboriginal children in the communities where it is used, as this signed language coexists with spoken languages. Speakers of other Yolngu languages use it. Nearly all domains.	Northern Territory (Arnhem Land Region)Milingimbi island, Elcho island, as well as the towns of Yirrkala, Ramingining, and Waraga.	5000	NA	NA
ygu	Jokul, Yikil, Yikul, Yookala, Yookil, Yookull, Yukul	Australian, Gunwingguan, Maran	NA	Australia	Related to Mara [mec].	8b (Nearly extinct).	NA	Northern Territory, Ngukurr, Saint Vidgeon homestead, Nawaparr gorge, Namiliwirri lagoon.	NA	NA	NA
ygw	Kokwaiyakwa, Yeghuye	Trans-New Guinea, Angan, Nuclear Angan	Angan	Papua New Guinea	Gwase, Hiqwase, Hiqwaye, Iwalaqamalje, Yeqwangilje. Similar to Chimbari [smb], Hamtai [hmt], Baruya [byr], and Menya [mcr] (most similar).	5 (Developing).	All domains. Also use Tok Pisin [tpi] as trade language with outsiders.	Morobe Province, Hiqwaye, Hiqwase, and Yeqwangilje; Gulf Province, Gwase; Eastern Highlands Province, Iqwalaqamalje.	10000	SOV	Latin script.
yha	Buyang, Buyang Zhuang, Guangnan Buyang, Western Buyang	Tai-Kadai, Kra, Central Kra	Tai-Kadai, Kadaic, Southwestern Kra, Southern Kra, Paha-Laha	China	Ecun, Langjia, Yalang. Similar to Langnian Buyang [yln] and E'ma Buyang [yzg]. Lexical similarity50% with Langnian Buyang [yln], 48% with E'ma Buyang [yzg], 46% with Yerong (Yalang Buyang) [yrn], 45% with Pubiao [laq], 41% with Laji (Lachi) [lbt], 40% with Lao [lao], 35% with Mulao [mlm], 32% with Lingao [onb], 28% with Northern Zhuang, 27% with Dong, 22% with Cun [cuq].	6b (Threatened).	As of 1995, still used by all ages in Dixu district's Yanglian village, but only older people can speak it in Bada district's Anshe village. In Anshe, younger people shifted to Guibian Zhuang [zgn]. All adults also use local Guibian Northern Zhuang [zgn]; some also use local Southwest Mandarin Chinese [cmn].	Yunnan Province, Wenshan Zhuang-Miao autonomous prefecture, northern Guangnan county, Dixu district, Yanglian village; Bada district, Anshe village.	600	SVO; adjectives follow nouns; tonal, 6 tones (combining categories in checked and unchecked syllables)	NA
yhd	Arabi, Iraqi Judeo-Arabic, Jewish Iraqi-Baghdadi Arabic, Yahudic	Afro-Asiatic, Semitic, Central, South, Arabic	Afro-Asiatic, Semitic, West Semitic, Central Semitic, Arabian, Arabic, Eastern Arabic, Qeltu	United Kingdom, Israel, Iraq, India	Not intelligible with Judeo-Tripolitanian Arabic [yud], Judeo-Tunisian Arabic [ajt], or Judeo-Moroccan Arabic [aju]. Similar to Baghdadi Arabic and North Mesopotamian Arabic [acm].	7 (Shifting).	Mainly older adults. Also use Hebrew [heb].	Also in India, Iraq, United Kingdom.	100000	NA	Hebrew script.
yhl	Abo, Boren, Bozi, Conehead Phula, Cowtail Phula, Daizhanpho, Digaopho, Flowery Phula, Hua Phula, Jiantou Phula, Minjia, Niuweiba Phula, Paola, Pho, Phula, Sandaohong Phula, Shaoji Phula, Sifter Basket Phula, Thrice Striped Red Phula, Xiuba	Sino-Tibetan, Tibeto-Burman, Ngwi-Burmese, Ngwi, Southeastern	Sino-Tibetan, Burmo-Qiangic, Lolo-Burmese, Loloish, Ni-Li-Kazhouish, Southeastern Ngwi, Highland Phula, Phowa, Hlepho-Phukha	China	Most similar to Labo Phowa [ypb], Phukha [phh], and Khlula [ykl].	6b (Threatened).	Dialects spoken in Wenshan County are most endangered. Home, village, market. All ages.	Yunnan Province, Kaiyuan county, eastern Beige township; Yanshan county, southeastern Ashe township; also northern Mengzi, western Weshan, and northern Pingbian counties.	36000	NA	NA
yia	Ingara, Ingarda, Ingarra, Ingarrah, Inggarda, Inparra, Jinggarda, Kakarakala, Yingkarta	Australian, Pama-Nyungan, South-West, Yinggarda	Pama-Nyungan, South-West Pama-Nyungan	Australia	Related to Malgana [vml] which has no remaining speakers.	8b (Nearly extinct).	NA	Western Australia, Shark bay coast between Gascoyne and Wooramel rivers, inland to Red Hill, West Pilbara.	5	NA	NA
yid	NA	NA	NA	Israel	NA	NA	NA	NA	1510430	NA	NA
yif	NA	Sino-Tibetan, Tibeto-Burman, Ngwi-Burmese, Ngwi, Southeastern	Sino-Tibetan, Burmo-Qiangic, Lolo-Burmese, Loloish, Ni-Li-Kazhouish, Lisoid, Unclassified Lisoid	China	NA	6b (Threatened).	NA	Yunnan Province, Shuangbai, Yimen, Eshan, and Lufeng counties.	35000	NA	NA
yig	Eastern Yi	Sino-Tibetan, Tibeto-Burman, Ngwi-Burmese, Ngwi, Northern	Sino-Tibetan, Burmo-Qiangic, Lolo-Burmese, Loloish, Ni-Li-Kazhouish, Southeastern Ngwi, Nisoid, Nuclear Nisoid, Nasu-Nosu, Nesu-Nasu, Nesu	China	Bijie, Dafang, Qian Xi. Reported low intelligibility between dialects.	5 (Developing).	Home, village, market. All ages. Neutral attitudes.	Guizhou Province, Weining Yi-Hui-Miao and Dafang autonomous counties, Hezhang and Pan counties; west Guangxi Zhuang Autonomous Region.	500000	SOV	Yi script, traditional.
yih	Judeo-German, Yiddish, Yidish	Indo-European, Germanic, West, High German, Yiddish	Indo-European, Germanic, Northwest Germanic, West Germanic, High German, Yiddish	Israel, Netherlands, France, Switzerland, Germany, Belgium, Hungary	Midwestern Yiddish, Northwestern Yiddish, Southwestern Yiddish. Originated in Germany, Holland, Switzerland, Alsace (France), Czechoslovakia, and western Hungary.	7 (Shifting).	NA	Southwestern dialect is south; Midwestern is central; Northwestern is in north. Also in Belgium, France, Israel, Netherlands, Switzerland.	5000	NA	Hebrew script.
yii	Boolboora, Deba, Eneby, Gerrah, Gijow, Gillah, Guwamal, Idin Idindji, Idinji, Idin-Wudjar, Indindji, Jidindji, Kitba, Maimbie, Mungera Ohalo, Pegullo-Bura, Warra-Warra, Warryboora, Woggil, Yetinji, Yiddinji, Yidin, Yidindji, Yidini, Yitintyi, Yukkaburra	Australian, Pama-Nyungan, Yidinic	Pama-Nyungan, Yimidhirr-Yalanji-Yidinic, Yidinic	Australia	Gunggay, Madyay, Yidiny.	6b (Threatened).	NA	Queensland, formerly Atherton region. A few at Palm Island Babinda, north to Gordonvale.	150	NA	NA
yij	Jindjibandi, Yinjtjipartnti	Australian, Pama-Nyungan, South-West, Coastal Ngayarda	Pama-Nyungan, South-West Pama-Nyungan, Pilbara, Ngayarda, Central Ngayarda, Yindjibarndi-Kurrama	Australia	NA	6a (Vigorous).	Also use English [eng].	Western Australia, Roebourne area.	310	SVO	NA
yik	Lalu, Lalupa, Lalupu	Sino-Tibetan, Tibeto-Burman, Ngwi-Burmese, Ngwi, Central	Sino-Tibetan, Burmo-Qiangic, Lolo-Burmese, Loloish, Ni-Li-Kazhouish, Lisoid, Nuclear Lisoid, Lisu-Laluba-Lavu, Laluba-Lavu, Lalo	China	NA	6b (Threatened).	Extinct, moribund or severely endangered in many areas, and not many children using it; in some areas less so (Bradley 2007).	West Yunnan Province, in Weishan, Yangbi, Midu, Xiaguan, Yongping, Baoshan, and Lancang counties.	30000	NA	NA
yil	Bularnu, Dhidhanu, Injdjiladji	Australian, Pama-Nyungan, Wagaya-Warluwaric, Warluwara-Thawa	Pama-Nyungan, Ngarna, Southern Ngarna, Ngarru	Australia	NA	10 (Extinct).	NA	Northern Territory, northeast of Wonarah.	0	NA	NA
yim	Tozhuma, Yachumi, Yanchunger, Yimchunger, Yimchungre, Yimchungru	Sino-Tibetan, Tibeto-Burman, Sal, Kuki-Chin-Naga, Ao	Sino-Tibetan, Kuki-Chin-Naga, Naga, Angami-Ao, Aoic, Yimchingric	India	Chirr, Minir, Pherrongre, Tikhir, Wai, Yimchungru. The last 3 dialects listed are in the south.	5 (Developing).	Also use Naga Pidgin [nag], Hindi [hin], or English [eng].	North Nagaland, Tuensang district, between Namchik and Patkoi.	92100	NA	Latin script.
yin	Black Riang, Ranei, Striped Karen, Yin Kya, Yinnet	Austro-Asiatic, Mon-Khmer, Northern Mon-Khmer, Palaungic, Western Palaungic, Riang	Austroasiatic, Khasi-Palaung, Palaungic, East Palaungic, Palaung-Riang, Riang	Myanmar	Related to Riang Lang [ril].	6b (Threatened).	Endangered. Also use Shan [shn] (southern dialect) or Burmese [mya].	South Shan State.	12000	SVO	NA
yip	Black Phula, Flowery Phula, Phu, Phula	Sino-Tibetan, Tibeto-Burman, Ngwi-Burmese, Ngwi, Southeastern	Sino-Tibetan, Burmo-Qiangic, Lolo-Burmese, Loloish	China	NA	6b (Threatened).	All ages.	Yunnan Province, northeast Yanshan county, southeast Qiubei county; east Yanshan, west Guangnan, and northeast Malipo counties, scattered.	30000	NA	NA
yiq	Micha, Mielang, Minqi	Sino-Tibetan, Tibeto-Burman, Ngwi-Burmese, Ngwi, Central	Sino-Tibetan, Burmo-Qiangic, Lolo-Burmese, Loloish, Ni-Li-Kazhouish, Lisoid, Lipo-Lolopo, Lipo-Micha	China	NA	7 (Shifting).	No remaining speakers in Jinning and Anning counties; declining elsewhere. Home. Neutral attitudes. Most also use Mandarin Chinese [cmn].	Yunnan Province, Wuding (Jincheng, Jiuchang, and Chadian districts), north Fumin, north Lufeng, south Luquan counties, parts of Yongren, Dayao, Yao'an, Nanhua, Jingdong, Zhenyuan, Jinggu, and Yimen counties.	30000	NA	NA
yir	Awyu, Djair, Dyair, Jair, Yair	Trans-New Guinea, Ok-Awyu, Awyu-Dumut, Awyu	Nuclear_Trans_New_Guinea, Asmat-Awyu-Ok, Greater Awyu, Awyu-Dumut, Awyu, Central and West Awyu	Indonesia (Papua)	NA	6a (Vigorous).	NA	Papua Province, Merauke district. West side, Digul river, upstream from Tanamerah town.	1500	NA	NA
yis	NA	Torricelli, Wapei-Palei, Wapei	Nuclear_Torricelli, Wapei-Palei, Yau-Yis	Papua New Guinea	Different dialects in each village. Related to Olo [ong], Yau [yyu], Ningil [niz], and Valman [van].	6a (Vigorous).	NA	Sandaun Province. 5 villages.	320	NA	NA
yit	NA	Sino-Tibetan, Tibeto-Burman, Ngwi-Burmese, Ngwi, Central	Spurious, !Sino-Tibetan, !Tibeto-Burman, !Burmo-Qiangic, !Lolo-Burmese, !Loloish, !Central Loloish, !Lalo	China	NA	7 (Shifting).	NA	Yunnan Province, in Xinping, Zhenyuan, Mojiang, and Yuanjiang counties.	38000	NA	NA
yiu	Luowu, Luwu	Sino-Tibetan, Tibeto-Burman, Ngwi-Burmese, Ngwi, Northern	Sino-Tibetan, Burmo-Qiangic, Lolo-Burmese, Loloish, Ni-Li-Kazhouish, Southeastern Ngwi, Nisoid, Nuclear Nisoid	China	Northern Awu, Southern Awu.	6b (Threatened).	NA	Yunnan Province, primarily north Honghe prefecture, Mile and Luxi counties; south Qujing prefecture, Shizong and Luoping counties.	20000	NA	NA
yiv	E-Xin Yi	Sino-Tibetan, Tibeto-Burman, Ngwi-Burmese, Ngwi, Southeastern	Sino-Tibetan, Burmo-Qiangic, Lolo-Burmese, Loloish, Ni-Li-Kazhouish, Southeastern Ngwi, Nisoid, Nisu-Nyisu, Nisu, Nuclear Nisu, North Nisu	China	Nasu, Nisu. Nasu dialect is distinct from the Nasu language continuum located further north.	6b (Threatened).	The language is active in areas with high concentrations of Nisu. However, there is increasing borrowing of lexical items from Chinese. Code switching between Nisu and Chinese is common. Many men and women spend part of the year working in predominantly Chinese towns or cities. Home, village, work. Mainly adults. Neutral attitudes. Also use Chinese [cmn] or Eastern Nisu [nos].	Yunnan Province, Eshan, Xinping, Shiping (North), Yimen, Yuxi, Jiangchuan, Shuangbai, Jinning, Chengjiang, and northern Yuanjiang counties.	160000	NA	NA
yix	Ahi, Axibo, Axipo	Sino-Tibetan, Tibeto-Burman, Ngwi-Burmese, Ngwi, Southeastern	Sino-Tibetan, Burmo-Qiangic, Lolo-Burmese, Loloish, Ni-Li-Kazhouish, Southeastern Ngwi, Axioid, Sani-Axi-Azhe, Sani-Axi	China	NA	6b (Threatened).	Many Axi aged 30 or less are unfamiliar with botanical or zoological terms, and tend to be unfamiliar with traditional stories and legends. All domains. All ages. Positive attitudes. Also use Mandarin Chinese [cmn].	Southeast Yunnan Province, Mile and Luxi counties. Shilin county, 1 village.	100000	SOV	Unwritten.
yiy	Gwandera, Jir Joront, Kokomindjen, Mandjoen, Millera, Mind'jana, Mundjun, Myunduno, Yir Yiront	Australian, Pama-Nyungan, Paman, Yir Yoront	NA	Australia	Dangedl (Dhanu'un, Djudjan, Dudjym), Gorminang, Jir'jorond (Jirmel Mel-Jir, Ngamba'wandh, Yir Thangedl, Yirmel, Yirtangettle, Yirtutiym).	8b (Nearly extinct).	Most ethnic group members speak Torres Strait Creole [tes]. Some L2 speakers. Few use English [eng].	Queensland, west central Cape York peninsula, just southeast of Edward river.	15	NA	NA
yiz	NA	Sino-Tibetan, Tibeto-Burman, Ngwi-Burmese, Ngwi, Southeastern	Sino-Tibetan, Burmo-Qiangic, Lolo-Burmese, Loloish, Ni-Li-Kazhouish, Southeastern Ngwi, Axioid, Sani-Axi-Azhe, Sani-Axi	China	NA	6a (Vigorous).	Also use Mandarin Chinese [cmn].	Yunnan Province, Mile countyXun Jian, Wushan, and Jiangbian districts; Huaning county, Panxi district; north Kaiyuan county, Xiaolongtan district, Xiaolongtan community; Lebaidao district, Jiedian community; Mazheshao district, Chongzi community; northeast Jianshui county, 1 village.	54000	NA	NA
yka	Yacan	Austronesian, Malayo-Polynesian, Greater Barito, Sama-Bajaw	Austronesian, Nuclear Austronesian, Malayo-Polynesian, Greater Barito, Sama-Bajaw	Philippines, Malaysia (Peninsular)	NA	4 (Educational).	Vigorous. All domains. Local administration, commerce, religion, oral traditional literature. Positive attitudes. Some are somewhat proficient in Tausug [tsg]. A few also use Chavacano [cbk]. The educated also use Filipino [fil] and English [eng].	Sulu Archipelago, Basilan, and small surrounding islands; Sakol island; west Mindanao, Zamboanga east coast. Concentrated away from the coast. Also in Malaysia.	106000	VPA, VAP; prepositions; genitives after noun heads; articles before noun heads, adjectives after noun heads, numerals before and after noun heads; question word in sentence-initial position; 2 prefixes, 1 suffix; word order distinguishes subjects, objects and indirect objects, given and new information, topic and comment; affixes do not indicate case of noun phrase; non-obligatory verb affixes indicate number; passives; causatives; comparatives; ergativity; CV, CCV, CVC; nontonal	Arabic script. Latin script.
